instruction,importance
VPMAXUW,0.006842845318360056
VPCMPISTRI,0.006207837000127849
VPBROADCASTW,0.006044426940925451
VPMAXSD,0.0059834025380433985
PMOVSXBQ,0.005762329757962125
VPSUBSB,0.005716658937578163
PMINUD,0.0056723853872433
VPMINSB,0.005608347107035949
VPINSRB,0.005538498232048727
VROUNDSS,0.005502650501494101
VPMULHRSW,0.005487112938762483
VPMULDQ,0.00525883181884323
VPMAXUD,0.005256561295293866
VPERMILPD,0.0052093339675503905
VPCMPEQD,0.00514692813418667
LEA,0.005087769729895524
PMOVSXBW,0.0048365046000973305
VPBLENDW,0.004822058866237995
VPSRAW,0.004716256732670945
VPINSRQ,0.004652567095598417
PCLMULQDQ,0.004645382323424044
VPMOVZXBQ,0.004483703756002932
VPMOVZXBQ,0.00445144886012157
MUL,0.004398475383791384
VPMAXSW,0.004397571067212747
VPERMILPS,0.004245196334095556
VPCMPGTD,0.004189891820450827
VPBROADCASTB,0.004163448232297092
PMOVSXDQ,0.004130591510777633
VPSRAVD,0.004098080156001979
VPBROADCASTB,0.004068328632512179
VPMOVZXBW,0.004047530454188385
VPMINSW,0.003984786231176913
VPBROADCASTW,0.003972533224215055
VPINSRD,0.003965230519048726
VPERMILPS,0.0039627130555828635
VPCMPGTB,0.003961000455070005
VRCPSS,0.003828417269569897
REX,0.0037737078444922477
LEA,0.0037250269333877523
VPHMINPOSUW,0.003703319812492211
VPCMPISTRM,0.0036933334047775258
VPERMILPS,0.00369283243365177
LEA,0.003599479359154487
VPCMPEQB,0.003590818866635425
VROUNDSD,0.00354920956058808
VPERMILPS,0.0034432674681138006
LEA,0.0033724217918029197
SHUFPS,0.00336777554350771
VPSRAVD,0.0033470612899985865
VPMOVSXBW,0.003335604276697241
PSHUFB,0.0033345267244598246
VPMOVSXBQ,0.0031370923249288744
VPERM2F128,0.0031102206247438395
VRCPPS,0.003085872341236662
VUNPCKHPS,0.0030492638703249184
VPMOVZXBD,0.0028242840752167103
PDEP,0.0028128275122503454
VPUNPCKHWD,0.0027766731718475864
PABSW,0.00263882706598016
VPMULHUW,0.0026346922783956977
VMULSS,0.0026125090437525804
PMOVZXWD,0.002607838022215834
RSQRTSS,0.0025382724705837224
VPINSRW,0.002535124754603098
VMOVDDUP,0.0025201485676467524
VMOVQ,0.0025027277932012505
VUNPCKLPS,0.0024913433642419986
VPMOVSXWQ,0.0024622299962181547
VPMOVZXDQ,0.002441587538869981
VPMOVZXBD,0.002436427727640441
PUNPCKLQDQ,0.0024357762795332947
PSRLW,0.002424979398311557
PINSRD,0.0024068554731789585
VPUNPCKHQDQ,0.002380704157799674
PCMPGTW,0.002368605578158331
VPSRLD,0.0023600844690883334
IMUL,0.002338751111208912
INSERTPS,0.0023288506317585265
VPMOVSXDQ,0.0023287225344943425
VPMULHW,0.0023193498644272113
VPSRAW,0.0023106138758646976
PSHUFHW,0.0023001131032986183
VSHUFPS,0.002290554135547838
VBROADCASTSS,0.0022893811262714526
VPMINSD,0.002285830171580509
VINSERTF128,0.0022781381273176637
VINSERTPS,0.002273637378618855
VPMOVZXDQ,0.002266978710730835
VPMOVSXWD,0.0022624964383780996
VPMOVSXWD,0.0022522068250679255
VPERMPD,0.0022495284523861175
VPSUBSW,0.0022476476460121454
PSADBW,0.0022466483586637475
VMOVDDUP,0.0022225961244838653
VPSLLQ,0.0022176914519939387
VAESDECLAST,0.0022102238143818826
VRSQRTPS,0.0022074502882265365
PMULHUW,0.002205460562671113
VPMOVZXWQ,0.0022031087574821994
RSQRTPS,0.0021979917157385564
IMUL,0.0021965485397840924
VPADDUSW,0.0021736901837286484
VPCMPGTB,0.002165119788293697
PSLLDQ,0.0021627239957442554
PALIGNR,0.0021577485479310175
VPACKUSDW,0.002150475877145949
PAVGB,0.0021470448382045664
VADDPD,0.0021466074367771223
VPMOVSXBW,0.0021384597098212804
VPSRLVQ,0.0021353506453541584
VPSLLW,0.002127606367941526
POPCNT,0.0021258845283164
VAESENC,0.0021247992317811786
VPMADDWD,0.0021210329575046256
VPSRAD,0.0021199973301533567
MOVDDUP,0.0021183790218690657
VPMOVSXWQ,0.0021168535700475393
VBROADCASTSD,0.0021158194676695187
VPUNPCKLBW,0.0021125586729762585
VPSUBSB,0.002109886954320293
VPSRAD,0.0021098384681487404
TZCNT,0.0021058205816944326
PMINSB,0.0021051488547424524
PUNPCKLWD,0.0021026521792509353
PHMINPOSUW,0.0020987932570839247
VPMINUW,0.002097497534885488
VPMOVZXWD,0.002095473119322408
VPSUBSW,0.00209417503491055
PMADDWD,0.0020832354581106554
VPUNPCKLDQ,0.002082883351566437
VPUNPCKLQDQ,0.002081153716147991
VPSRLW,0.0020766738404476557
VPERM2I128,0.0020745604415902054
VPMULLD,0.0020745017842554616
VPADDSB,0.0020738650415926636
VPACKSSDW,0.0020683683849727803
PCMPGTD,0.0020678264909908947
MOVMSKPS,0.002066369267419279
VPUNPCKLWD,0.00206491812065568
PMAXUW,0.0020628151544745317
VPSLLVQ,0.002055663508587438
VPBROADCASTD,0.0020546905533958292
VPSLLVD,0.002052022607313642
VPABSB,0.0020509848225988697
PSRLDQ,0.002049877720605041
VPSRLQ,0.0020497225372327218
VPMOVSXBD,0.0020488714151770514
VAESDEC,0.0020487108750961054
VPMOVZXWD,0.002047873356110964
VPBROADCASTQ,0.0020471570733744428
VPACKUSWB,0.002042946808135335
VPABSB,0.0020422794678009487
VPACKSSWB,0.002041187770698472
VPSUBUSB,0.0020387566148360476
VPCMPEQW,0.00203213830058618
VPSUBUSB,0.0020302468159352363
PUNPCKLDQ,0.002029274425737767
PSRLD,0.002026758948955718
VPCMPEQQ,0.002024962647196616
SHUFPD,0.002023519657990883
VPMOVMSKB,0.002022932847790664
VPUNPCKHBW,0.0020211445589510164
